Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
"Washington Federal Bank
for Savings",Chicago,IL,30570,Royal Savings Bank,15-Dec-17,21-Feb-18
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,13-Oct-17,21-Feb-18
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",26-May-17,26-Jul-17
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan) ",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,5-May-17,26-Jul-17
First NBC Bank,New Orleans,LA,58302,Whitney Bank,28-Apr-17,5-Dec-17
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,3-Mar-17,7-Mar-18
